generation,X,Y,Total_C
673,958,1588,0
674,923,1496,0
675,1081,1715,0
676,948,1458,0
677,1003,1578,0
678,1042,1431,0
679,905,1428,0
680,982,1484,0
681,989,1494,0
682,975,1459,0
683,945,1279,0
684,919,1304,0
685,973,1325,0
686,967,1498,0
687,904,1477,0
688,1064,1501,0
689,957,1727,0
690,986,1407,0
691,970,1454,0
692,984,1398,0
693,839,1219,0
694,906,1328,0
695,970,1629,0
696,1050,1771,0
697,1056,1602,0
698,916,1590,0
699,968,1499,0
700,1065,1459,0
701,989,1455,0
702,1030,1427,0
703,947,1456,0
704,943,1488,0
705,1059,1588,0
706,1015,1251,0
707,1021,1624,0
708,1023,1372,0
709,1096,1696,0
710,989,1448,0
711,1038,1547,0
712,926,1509,0
713,1044,1652,0
714,1032,1511,0
715,1003,1428,0
716,1072,1516,0
717,1078,1671,0
718,980,1575,0
719,864,1364,0
720,869,1392,0
721,1070,1430,0
722,1057,1693,0
723,866,1260,0
724,880,1478,0
725,889,1433,0
726,926,1424,0
727,970,1475,0
728,1001,1617,0
729,999,1384,0
730,995,1389,0
731,1001,1326,0
732,1071,1547,0
733,925,1668,0
734,1027,1286,0
735,940,1392,0
736,917,1305,0
737,911,1338,0
738,1020,1459,0
739,1021,1836,0
740,946,1402,0
741,882,1311,0
742,1042,1333,0
743,1001,1564,0
744,1003,1302,0
745,1022,1656,0
746,1070,1700,0
747,1050,1716,0
748,1030,1365,0
749,1008,1321,0
750,1035,1497,0
751,944,1377,0
752,1070,1682,0
753,862,1143,0
754,1067,1696,0
755,1006,1517,0
756,1092,1643,0
757,1129,1844,0
758,931,1356,0
759,1099,1643,0
760,1045,1668,0
761,1052,1444,0
762,999,1509,0
763,973,1488,0
764,932,1207,0
765,1003,1297,0
766,1046,1342,0
767,1010,1336,0
768,1026,1430,0
769,1067,1374,0
770,1062,1388,0
771,1036,1547,0
772,1145,1539,0
773,968,1642,0
774,1039,1389,0
775,1052,1474,0
776,1030,1383,0
777,898,1402,0
778,953,1470,0
779,1074,1502,0
780,920,1447,0
781,963,1535,0
782,986,1290,0
783,974,1635,0
784,1005,1730,0
785,1034,1531,0
786,1072,1428,0
787,1005,1641,0
788,1037,1524,0
789,1031,1367,0
790,1022,1378,0
791,1078,1447,0
792,996,1566,0
793,947,1504,0
794,1112,1606,0
795,956,1515,0
796,1030,1752,0
797,1008,1345,0
798,1043,1361,0
799,1150,1325,0
800,954,1393,0
