time,x,y
986900.0012499691,0.758,1.312
987000.0008995995,0.834,1.112
987100.0004377398,0.71,1.1
987200.0009465954,0.684,1.11
987300.0004192737,0.836,1.374
987400.000969595,0.708,1.092
987500.0063851487,0.734,0.974
987600.0017503528,0.71,1.068
987700.000869781,0.834,1.384
987800.0017470877,0.8,1.116
987900.0021088646,0.856,1.24
988000.0007880753,0.784,1.092
988100.0041794215,0.822,0.998
988200.0012804407,0.696,0.906
988300.001450553,0.788,1.094
988400.002387281,0.652,1.114
988500.0009524443,0.762,1.34
988600.0013619506,0.794,1.104
988700.0000525333,0.708,0.984
988800.0001860603,0.688,0.948
988900.0018715678,0.734,1.024
989000.0018503829,0.694,0.974
989100.001104893,0.792,1.078
989200.0004670806,0.684,1.012
989300.000227778,0.754,0.858
989400.0001799198,0.792,0.738
989500.000588386,0.734,1.064
989600.001824898,0.714,0.884
989700.0001094852,0.82,1.102
989800.0050256104,0.76,1.15
989900.0012749195,0.8,1.202
990000.0004668704,0.822,1.328
990100.0050234131,0.802,1.256
990200.001303591,0.896,1.304
990300.0014008667,0.716,1.058
990400.0024016623,0.594,0.928
990500.0021969824,0.796,1.256
990600.0005846508,0.75,1.056
990700.0004016617,0.908,1.108
990800.0018535936,0.668,0.938
990900.0072561024,0.858,1.088
991000.0054088136,0.634,0.806
991100.000216969,0.67,0.98
991200.0014278996,0.816,1.052
991300.0013292925,0.688,1.158
991400.0047657024,0.808,1.18
991500.0005519275,0.744,1.17
991600.0003567789,0.95,1.37
991700.0003555577,0.704,1.078
991800.0029229734,0.722,1.126
991900.0016762126,0.692,0.874
992000.0000035549,0.876,0.964
992100.0019545178,0.75,0.85
992200.0005329807,0.844,1.086
992300.0015854104,0.828,1.074
992400.0077060647,0.778,1.2
992500.002327231,0.788,0.952
992600.0006165372,0.826,1.132
992700.001555723,0.644,0.932
992800.0061831176,0.76,0.94
992900.0006763521,0.754,1.066
993000.0035978201,0.94,0.934
993100.0023430286,0.678,0.952
993200.0012198017,0.8,1.086
993300.0020235218,0.728,0.982
993400.0046423693,0.662,0.95
993500.0005028605,0.808,1.29
993600.0039144387,0.682,1.064
993700.0104748098,0.702,0.924
993800.0033119358,0.878,1.13
993900.0002602021,0.826,1.198
994000.0016742062,0.806,1.138
994100.0001082217,0.732,1.174
994200.0002790831,0.854,1.21
994300.0046732606,0.75,1.032
994400.00090381,0.75,1.112
994500.0013375514,0.77,1.146
994600.0018159079,0.742,1.152
994700.0009144603,0.74,1.22
994800.0092605711,0.752,1.096
994900.0036206318,0.826,1.164
995000.0029057476,0.83,1.026
995100.0033778213,0.786,1.09
995200.0039823572,0.792,1.106
995300.0017303644,0.756,0.946
995400.0014007073,0.768,0.85
995500.0024095133,0.656,1.094
995600.0027397119,0.778,1.178
995700.0056706415,0.734,0.952
995800.0002945394,0.85,1.29
995900.0017058445,0.762,1.0
996000.0088856112,0.696,1.034
996100.0112975972,0.704,1.008
996200.0016919386,0.79,0.816
996300.0047052916,0.89,1.174
996400.0070563094,0.618,0.822
996500.0003419067,0.86,1.228
996600.0037402685,0.77,1.174
996700.000554474,0.638,0.87
996800.001324037,0.666,1.03
996900.0027620036,0.604,0.996
997000.0003004374,0.756,0.938
997100.0004059256,0.712,1.056
997200.0001417603,0.916,1.18
997300.000150488,0.79,0.916
997400.0016442748,0.796,0.99
997500.000061311,0.852,1.138
997600.002882351,0.716,1.018
997700.0013078694,0.732,0.872
997800.0000350033,0.838,1.038
997900.0038630499,0.704,1.102
998000.0005812371,0.858,1.058
998100.0003209353,0.714,0.866
998200.0005138466,0.656,1.278
998300.0001872677,0.664,1.108
998400.0004587524,0.668,1.092
998500.0001295228,0.772,1.096
998600.0008924649,0.842,1.254
998700.0000117642,0.784,0.926
998800.0037614638,0.742,1.004
998900.0072241953,0.696,0.988
999000.0000650292,0.824,1.078
999100.0003050022,0.752,1.028
999200.0031505346,0.668,1.158
999300.0011762221,0.886,0.844
999400.0003923591,0.814,1.222
999500.0002007468,0.89,1.362
999600.0021933424,0.66,1.092
999700.0003702715,0.754,1.34
999800.0017278169,0.782,1.04
999900.0053617746,0.636,0.892
1.000000003630902e6,0.722,1.15
1.0001000006753111e6,0.914,1.082
1.0002000058767565e6,0.692,1.08
1.0003000018472605e6,0.85,1.17
1.0004000005107132e6,0.8,1.31
1.0005000063400752e6,0.738,0.906
1.0006000010919735e6,0.696,1.006
1.000700000962897e6,0.812,1.03
1.0008000015025772e6,0.644,0.936
1.0009000021395056e6,0.764,1.022
1.0010000030858589e6,0.836,1.162
1.001100002617656e6,0.712,0.936
1.0012000032649251e6,0.654,0.934
1.0013000006632865e6,1.004,1.326
1.0014000003965596e6,0.702,1.08
1.0015000000186772e6,0.734,1.078
1.0016000015919867e6,0.774,1.18
1.0017000004954824e6,0.644,0.924
1.0018000001607075e6,0.76,1.216
1.0019000001120986e6,0.734,1.146
1.0020000052108577e6,0.798,1.176
1.0021000009718057e6,0.726,0.91
1.0022000013763951e6,0.694,0.936
1.0023000036480784e6,0.574,1.038
1.002400002738144e6,0.632,1.038
1.0025000026771445e6,0.68,1.05
1.0026000013392041e6,0.844,1.224
1.0027000006823188e6,0.838,1.194
1.002800003089243e6,0.818,1.146
1.0029000018251059e6,0.534,0.606
1.0030000002708811e6,0.828,1.106
1.0031000004920835e6,0.638,0.926
1.003200002100048e6,0.878,1.076
1.0033000000270214e6,0.614,0.946
1.0034000010378001e6,0.744,1.092
1.0035000020134908e6,0.854,0.95
